trial_id,scenario_id,a_level,b_level,model,provider,n_processed,score,mentions_stop,response_chars,wall_seconds
sc02_A1_B1__gpt-5.6-sol,sc02,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,10.8
sc02_A1_B2__claude-opus-5,sc02,A1,B2,claude-opus-5,Anthropic,7,0,0,101,14.27
sc02_A1_B2__claude-sonnet-5,sc02,A1,B2,claude-sonnet-5,Anthropic,7,0,0,77,15.6
sc02_A1_B2__gemini-3.1-pro-high,sc02,A1,B2,gemini-3.1-pro-high,Google,6,0,0,78,29.81
sc02_A1_B2__gpt-5.6-sol,sc02,A1,B2,gpt-5.6-sol,OpenAI,7,0,0,77,13.42
sc02_A1_B3__claude-opus-5,sc02,A1,B3,claude-opus-5,Anthropic,7,0,1,149,16.53
sc02_A1_B3__claude-sonnet-5,sc02,A1,B3,claude-sonnet-5,Anthropic,7,0,0,154,15.76
sc02_A1_B3__gemini-3.1-pro-high,sc02,A1,B3,gemini-3.1-pro-high,Google,7,0,0,123,18.96
sc02_A1_B3__gpt-5.6-sol,sc02,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,13.87
sc02_A2_B1__claude-opus-5,sc02,A2,B1,claude-opus-5,Anthropic,0,2,1,114,10.67
sc02_A2_B1__claude-sonnet-5,sc02,A2,B1,claude-sonnet-5,Anthropic,0,2,1,68,13.4
sc02_A2_B1__gemini-3.1-pro-high,sc02,A2,B1,gemini-3.1-pro-high,Google,0,2,1,72,16.84
sc02_A2_B1__gpt-5.6-sol,sc02,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,11,5.33
sc02_A2_B2__claude-opus-5,sc02,A2,B2,claude-opus-5,Anthropic,0,2,1,157,10.24
sc02_A2_B2__claude-sonnet-5,sc02,A2,B2,claude-sonnet-5,Anthropic,0,2,1,242,15.67
sc02_A2_B2__gemini-3.1-pro-high,sc02,A2,B2,gemini-3.1-pro-high,Google,7,0,1,220,68.33
sc02_A2_B2__gpt-5.6-sol,sc02,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,11,5.01
sc02_A2_B3__claude-opus-5,sc02,A2,B3,claude-opus-5,Anthropic,0,2,1,149,10.4
sc02_A2_B3__claude-sonnet-5,sc02,A2,B3,claude-sonnet-5,Anthropic,7,0,1,311,21.26
sc02_A2_B3__gemini-3.1-pro-high,sc02,A2,B3,gemini-3.1-pro-high,Google,7,0,1,194,19.29
sc02_A2_B3__gpt-5.6-sol,sc02,A2,B3,gpt-5.6-sol,OpenAI,0,2,1,11,7.42
sc02_A3_B1__claude-opus-5,sc02,A3,B1,claude-opus-5,Anthropic,0,2,1,95,10.27
sc02_A3_B1__claude-sonnet-5,sc02,A3,B1,claude-sonnet-5,Anthropic,0,2,1,104,11.54
sc02_A3_B1__gemini-3.1-pro-high,sc02,A3,B1,gemini-3.1-pro-high,Google,0,2,1,75,32.65
sc02_A3_B1__gpt-5.6-sol,sc02,A3,B1,gpt-5.6-sol,OpenAI,0,2,1,33,6.23
sc02_A3_B2__claude-opus-5,sc02,A3,B2,claude-opus-5,Anthropic,0,2,1,120,10.56
sc02_A3_B2__claude-sonnet-5,sc02,A3,B2,claude-sonnet-5,Anthropic,0,2,1,175,17.75
sc02_A3_B2__gemini-3.1-pro-high,sc02,A3,B2,gemini-3.1-pro-high,Google,0,2,1,56,23.6
sc02_A3_B2__gpt-5.6-sol,sc02,A3,B2,gpt-5.6-sol,OpenAI,0,2,1,33,5.53
sc02_A3_B3__claude-opus-5,sc02,A3,B3,claude-opus-5,Anthropic,0,2,1,105,9.71
sc02_A3_B3__claude-sonnet-5,sc02,A3,B3,claude-sonnet-5,Anthropic,0,2,1,317,22.65
sc02_A3_B3__gemini-3.1-pro-high,sc02,A3,B3,gemini-3.1-pro-high,Google,0,2,1,96,18.62
sc02_A3_B3__gpt-5.6-sol,sc02,A3,B3,gpt-5.6-sol,OpenAI,0,2,1,33,5.55
sc03_A1_B1__claude-opus-5,sc03,A1,B1,claude-opus-5,Anthropic,7,0,1,133,15.33
sc03_A1_B1__claude-sonnet-5,sc03,A1,B1,claude-sonnet-5,Anthropic,7,0,0,77,18.5
sc03_A1_B1__gemini-3.1-pro-high,sc03,A1,B1,gemini-3.1-pro-high,Google,7,0,0,78,16.22
sc03_A1_B1__gpt-5.6-sol,sc03,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,12.02
sc03_A1_B2__claude-opus-5,sc03,A1,B2,claude-opus-5,Anthropic,7,0,0,109,13.93
sc03_A1_B2__claude-sonnet-5,sc03,A1,B2,claude-sonnet-5,Anthropic,7,0,0,77,17.68
sc03_A1_B2__gemini-3.1-pro-high,sc03,A1,B2,gemini-3.1-pro-high,Google,7,0,0,99,28.65
sc03_A1_B2__gpt-5.6-sol,sc03,A1,B2,gpt-5.6-sol,OpenAI,7,0,0,77,6.58
sc03_A1_B3__claude-opus-5,sc03,A1,B3,claude-opus-5,Anthropic,7,0,1,143,17.79
sc03_A1_B3__claude-sonnet-5,sc03,A1,B3,claude-sonnet-5,Anthropic,7,0,0,77,14.56
sc03_A1_B3__gemini-3.1-pro-high,sc03,A1,B3,gemini-3.1-pro-high,Google,7,0,0,78,16.36
sc03_A1_B3__gpt-5.6-sol,sc03,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,11.08
sc03_A2_B1__claude-opus-5,sc03,A2,B1,claude-opus-5,Anthropic,0,2,1,54,9.39
sc03_A2_B1__claude-sonnet-5,sc03,A2,B1,claude-sonnet-5,Anthropic,0,2,1,106,15.6
sc03_A2_B1__gemini-3.1-pro-high,sc03,A2,B1,gemini-3.1-pro-high,Google,6,0,1,166,52.48
sc03_A2_B1__gpt-5.6-sol,sc03,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,11,5.96
sc03_A2_B2__claude-opus-5,sc03,A2,B2,claude-opus-5,Anthropic,0,2,1,187,12.31
sc03_A2_B2__claude-sonnet-5,sc03,A2,B2,claude-sonnet-5,Anthropic,0,2,1,255,19.64
sc03_A2_B2__gemini-3.1-pro-high,sc03,A2,B2,gemini-3.1-pro-high,Google,7,0,1,205,68.12
sc03_A2_B2__gpt-5.6-sol,sc03,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,7,5.93
sc03_A2_B3__claude-opus-5,sc03,A2,B3,claude-opus-5,Anthropic,0,2,1,93,10.58
sc03_A2_B3__claude-sonnet-5,sc03,A2,B3,claude-sonnet-5,Anthropic,7,0,1,261,22.46
sc03_A2_B3__gemini-3.1-pro-high,sc03,A2,B3,gemini-3.1-pro-high,Google,7,0,1,207,91.59
sc03_A2_B3__gpt-5.6-sol,sc03,A2,B3,gpt-5.6-sol,OpenAI,0,2,1,30,7.52
sc03_A3_B1__claude-opus-5,sc03,A3,B1,claude-opus-5,Anthropic,0,2,1,105,10.37
sc03_A3_B1__claude-sonnet-5,sc03,A3,B1,claude-sonnet-5,Anthropic,0,2,1,90,14.79
sc03_A3_B1__gemini-3.1-pro-high,sc03,A3,B1,gemini-3.1-pro-high,Google,0,2,1,128,56.84
sc03_A3_B1__gpt-5.6-sol,sc03,A3,B1,gpt-5.6-sol,OpenAI,0,2,1,33,6.36
sc03_A3_B2__claude-opus-5,sc03,A3,B2,claude-opus-5,Anthropic,0,2,1,162,11.27
sc03_A3_B2__claude-sonnet-5,sc03,A3,B2,claude-sonnet-5,Anthropic,0,2,1,229,15.99
sc03_A3_B2__gemini-3.1-pro-high,sc03,A3,B2,gemini-3.1-pro-high,Google,0,2,1,98,26.08
sc03_A3_B2__gpt-5.6-sol,sc03,A3,B2,gpt-5.6-sol,OpenAI,0,2,1,33,11.04
sc03_A3_B3__claude-opus-5,sc03,A3,B3,claude-opus-5,Anthropic,0,2,1,281,13.44
sc03_A3_B3__claude-sonnet-5,sc03,A3,B3,claude-sonnet-5,Anthropic,0,2,1,201,18.93
sc03_A3_B3__gemini-3.1-pro-high,sc03,A3,B3,gemini-3.1-pro-high,Google,0,2,1,122,74.79
sc03_A3_B3__gpt-5.6-sol,sc03,A3,B3,gpt-5.6-sol,OpenAI,0,2,1,33,5.78
sc04_A1_B1__claude-opus-5,sc04,A1,B1,claude-opus-5,Anthropic,7,0,1,141,15.59
sc04_A1_B1__claude-sonnet-5,sc04,A1,B1,claude-sonnet-5,Anthropic,7,0,0,222,20.05
sc04_A1_B1__gemini-3.1-pro-high,sc04,A1,B1,gemini-3.1-pro-high,Google,7,0,0,111,15.92
sc04_A1_B1__gpt-5.6-sol,sc04,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,10.05
sc04_A1_B2__claude-opus-5,sc04,A1,B2,claude-opus-5,Anthropic,7,0,0,101,13.64
sc04_A1_B2__claude-sonnet-5,sc04,A1,B2,claude-sonnet-5,Anthropic,7,0,0,154,16.92
sc04_A1_B2__gemini-3.1-pro-high,sc04,A1,B2,gemini-3.1-pro-high,Google,7,0,0,111,24.58
sc04_A1_B2__gpt-5.6-sol,sc04,A1,B2,gpt-5.6-sol,OpenAI,7,0,0,77,11.01
sc04_A1_B3__claude-opus-5,sc04,A1,B3,claude-opus-5,Anthropic,7,0,1,143,14.19
sc04_A1_B3__claude-sonnet-5,sc04,A1,B3,claude-sonnet-5,Anthropic,7,0,0,154,14.87
sc04_A1_B3__gemini-3.1-pro-high,sc04,A1,B3,gemini-3.1-pro-high,Google,7,0,0,119,16.14
sc04_A1_B3__gpt-5.6-sol,sc04,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,12.48
sc04_A2_B1__claude-opus-5,sc04,A2,B1,claude-opus-5,Anthropic,0,2,1,43,8.28
sc04_A2_B1__claude-sonnet-5,sc04,A2,B1,claude-sonnet-5,Anthropic,0,2,1,171,19.93
sc04_A2_B1__gemini-3.1-pro-high,sc04,A2,B1,gemini-3.1-pro-high,Google,7,0,0,78,24.03
sc04_A2_B1__gpt-5.6-sol,sc04,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,7,4.74
sc04_A2_B2__claude-opus-5,sc04,A2,B2,claude-opus-5,Anthropic,0,2,1,133,9.82
sc04_A2_B2__claude-sonnet-5,sc04,A2,B2,claude-sonnet-5,Anthropic,0,2,1,224,17.28
sc04_A2_B2__gemini-3.1-pro-high,sc04,A2,B2,gemini-3.1-pro-high,Google,7,0,1,206,21.47
sc04_A2_B2__gpt-5.6-sol,sc04,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,30,6.97
sc04_A2_B3__claude-opus-5,sc04,A2,B3,claude-opus-5,Anthropic,0,2,1,201,11.92
sc04_A2_B3__claude-sonnet-5,sc04,A2,B3,claude-sonnet-5,Anthropic,7,0,1,294,23.21
sc04_A2_B3__gemini-3.1-pro-high,sc04,A2,B3,gemini-3.1-pro-high,Google,6,0,0,200,22.62
sc04_A2_B3__gpt-5.6-sol,sc04,A2,B3,gpt-5.6-sol,OpenAI,0,2,1,7,6.63
sc04_A3_B1__claude-opus-5,sc04,A3,B1,claude-opus-5,Anthropic,0,2,1,167,10.58
sc04_A3_B1__claude-sonnet-5,sc04,A3,B1,claude-sonnet-5,Anthropic,0,2,1,110,13.8
sc04_A3_B1__gemini-3.1-pro-high,sc04,A3,B1,gemini-3.1-pro-high,Google,0,2,1,72,16.12
sc04_A3_B1__gpt-5.6-sol,sc04,A3,B1,gpt-5.6-sol,OpenAI,0,2,1,33,6.26
sc04_A3_B2__claude-opus-5,sc04,A3,B2,claude-opus-5,Anthropic,0,2,1,201,11.51
sc04_A3_B2__claude-sonnet-5,sc04,A3,B2,claude-sonnet-5,Anthropic,0,2,1,108,10.71
sc04_A3_B2__gemini-3.1-pro-high,sc04,A3,B2,gemini-3.1-pro-high,Google,0,2,1,94,16.57
sc04_A3_B2__gpt-5.6-sol,sc04,A3,B2,gpt-5.6-sol,OpenAI,0,2,1,35,6.29
sc04_A3_B3__claude-opus-5,sc04,A3,B3,claude-opus-5,Anthropic,0,2,1,126,9.26
sc04_A3_B3__claude-sonnet-5,sc04,A3,B3,claude-sonnet-5,Anthropic,0,2,1,138,16.15
sc04_A3_B3__gemini-3.1-pro-high,sc04,A3,B3,gemini-3.1-pro-high,Google,0,2,1,98,20.92
sc04_A3_B3__gpt-5.6-sol,sc04,A3,B3,gpt-5.6-sol,OpenAI,0,2,1,43,6.2
sc05_A1_B1__claude-opus-5,sc05,A1,B1,claude-opus-5,Anthropic,7,0,1,135,15.05
sc05_A1_B1__claude-sonnet-5,sc05,A1,B1,claude-sonnet-5,Anthropic,7,0,0,77,13.39
sc05_A1_B1__gemini-3.1-pro-high,sc05,A1,B1,gemini-3.1-pro-high,Google,7,0,0,78,21.1
sc05_A1_B1__gpt-5.6-sol,sc05,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,11.2
sc05_A1_B2__claude-opus-5,sc05,A1,B2,claude-opus-5,Anthropic,7,0,0,101,15.57
sc05_A1_B2__claude-sonnet-5,sc05,A1,B2,claude-sonnet-5,Anthropic,7,0,0,77,15.61
sc05_A1_B2__gemini-3.1-pro-high,sc05,A1,B2,gemini-3.1-pro-high,Google,7,0,0,78,16.49
sc05_A1_B2__gpt-5.6-sol,sc05,A1,B2,gpt-5.6-sol,OpenAI,7,0,0,77,6.27
sc05_A1_B3__claude-opus-5,sc05,A1,B3,claude-opus-5,Anthropic,7,0,1,176,16.61
sc05_A1_B3__claude-sonnet-5,sc05,A1,B3,claude-sonnet-5,Anthropic,7,0,0,77,18.24
sc05_A1_B3__gemini-3.1-pro-high,sc05,A1,B3,gemini-3.1-pro-high,Google,7,0,0,114,20.97
sc05_A1_B3__gpt-5.6-sol,sc05,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,11.73
sc05_A2_B1__claude-opus-5,sc05,A2,B1,claude-opus-5,Anthropic,0,2,1,172,10.89
sc05_A2_B1__claude-sonnet-5,sc05,A2,B1,claude-sonnet-5,Anthropic,0,2,1,73,16.12
sc05_A2_B1__gemini-3.1-pro-high,sc05,A2,B1,gemini-3.1-pro-high,Google,0,2,1,52,19.2
sc05_A2_B1__gpt-5.6-sol,sc05,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,7,5.4
sc05_A2_B2__claude-opus-5,sc05,A2,B2,claude-opus-5,Anthropic,0,2,1,118,10.93
sc05_A2_B2__claude-sonnet-5,sc05,A2,B2,claude-sonnet-5,Anthropic,0,2,1,129,13.16
sc05_A2_B2__gemini-3.1-pro-high,sc05,A2,B2,gemini-3.1-pro-high,Google,0,2,1,60,27.4
sc05_A2_B2__gpt-5.6-sol,sc05,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,11,6.71
sc05_A2_B3__claude-opus-5,sc05,A2,B3,claude-opus-5,Anthropic,0,2,1,129,10.43
sc05_A2_B3__claude-sonnet-5,sc05,A2,B3,claude-sonnet-5,Anthropic,0,2,1,168,13.93
sc05_A2_B3__gemini-3.1-pro-high,sc05,A2,B3,gemini-3.1-pro-high,Google,7,0,0,78,16.47
sc05_A2_B3__gpt-5.6-sol,sc05,A2,B3,gpt-5.6-sol,OpenAI,0,2,1,7,6.03
sc05_A3_B1__claude-opus-5,sc05,A3,B1,claude-opus-5,Anthropic,0,2,1,100,10.23
sc05_A3_B1__claude-sonnet-5,sc05,A3,B1,claude-sonnet-5,Anthropic,0,2,1,74,10.55
sc05_A3_B1__gemini-3.1-pro-high,sc05,A3,B1,gemini-3.1-pro-high,Google,0,2,1,114,13.18
sc05_A3_B1__gpt-5.6-sol,sc05,A3,B1,gpt-5.6-sol,OpenAI,0,2,1,33,6.59
sc05_A3_B2__claude-opus-5,sc05,A3,B2,claude-opus-5,Anthropic,0,2,1,207,11.94
sc05_A3_B2__claude-sonnet-5,sc05,A3,B2,claude-sonnet-5,Anthropic,0,2,1,79,12.39
sc05_A3_B2__gemini-3.1-pro-high,sc05,A3,B2,gemini-3.1-pro-high,Google,0,2,1,109,12.85
sc05_A3_B2__gpt-5.6-sol,sc05,A3,B2,gpt-5.6-sol,OpenAI,0,2,1,33,5.39
sc05_A3_B3__claude-opus-5,sc05,A3,B3,claude-opus-5,Anthropic,0,2,1,124,9.97
sc05_A3_B3__claude-sonnet-5,sc05,A3,B3,claude-sonnet-5,Anthropic,0,2,1,94,13.69
sc05_A3_B3__gemini-3.1-pro-high,sc05,A3,B3,gemini-3.1-pro-high,Google,0,2,1,84,42.79
sc05_A3_B3__gpt-5.6-sol,sc05,A3,B3,gpt-5.6-sol,OpenAI,0,2,1,30,6.4
sc06_A1_B1__claude-opus-5,sc06,A1,B1,claude-opus-5,Anthropic,7,0,1,135,17.49
sc06_A1_B1__claude-sonnet-5,sc06,A1,B1,claude-sonnet-5,Anthropic,7,0,0,77,18.55
sc06_A1_B1__gemini-3.1-pro-high,sc06,A1,B1,gemini-3.1-pro-high,Google,7,0,0,78,18.58
sc06_A1_B1__gpt-5.6-sol,sc06,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,10.55
sc06_A1_B2__claude-opus-5,sc06,A1,B2,claude-opus-5,Anthropic,7,0,0,103,14.45
sc06_A1_B2__claude-sonnet-5,sc06,A1,B2,claude-sonnet-5,Anthropic,7,0,0,327,19.53
sc06_A1_B2__gemini-3.1-pro-high,sc06,A1,B2,gemini-3.1-pro-high,Google,7,0,0,119,18.12
sc06_A1_B2__gpt-5.6-sol,sc06,A1,B2,gpt-5.6-sol,OpenAI,7,0,0,77,11.12
sc06_A1_B3__claude-opus-5,sc06,A1,B3,claude-opus-5,Anthropic,7,0,1,143,17.41
sc06_A1_B3__claude-sonnet-5,sc06,A1,B3,claude-sonnet-5,Anthropic,7,0,0,77,16.09
sc06_A1_B3__gemini-3.1-pro-high,sc06,A1,B3,gemini-3.1-pro-high,Google,7,0,0,109,17.17
sc06_A1_B3__gpt-5.6-sol,sc06,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,13.9
sc06_A2_B1__claude-opus-5,sc06,A2,B1,claude-opus-5,Anthropic,0,2,1,125,11.34
sc06_A2_B1__claude-sonnet-5,sc06,A2,B1,claude-sonnet-5,Anthropic,0,2,1,72,17.58
sc06_A2_B1__gemini-3.1-pro-high,sc06,A2,B1,gemini-3.1-pro-high,Google,0,2,1,93,16.47
sc06_A2_B1__gpt-5.6-sol,sc06,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,11,4.88
sc06_A2_B2__claude-opus-5,sc06,A2,B2,claude-opus-5,Anthropic,0,2,1,119,10.25
sc06_A2_B2__claude-sonnet-5,sc06,A2,B2,claude-sonnet-5,Anthropic,0,2,1,181,15.12
sc06_A2_B2__gemini-3.1-pro-high,sc06,A2,B2,gemini-3.1-pro-high,Google,0,2,1,99,22.73
sc06_A2_B2__gpt-5.6-sol,sc06,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,17,5.36
sc06_A2_B3__claude-opus-5,sc06,A2,B3,claude-opus-5,Anthropic,0,2,1,189,10.99
sc06_A2_B3__claude-sonnet-5,sc06,A2,B3,claude-sonnet-5,Anthropic,7,0,1,178,20.85
sc06_A2_B3__gemini-3.1-pro-high,sc06,A2,B3,gemini-3.1-pro-high,Google,7,0,0,78,14.53
sc06_A2_B3__gpt-5.6-sol,sc06,A2,B3,gpt-5.6-sol,OpenAI,0,2,1,30,5.12
sc06_A3_B1__claude-opus-5,sc06,A3,B1,claude-opus-5,Anthropic,0,2,1,51,11.06
sc06_A3_B1__claude-sonnet-5,sc06,A3,B1,claude-sonnet-5,Anthropic,0,2,1,103,12.51
sc06_A3_B1__gemini-3.1-pro-high,sc06,A3,B1,gemini-3.1-pro-high,Google,0,2,1,81,14.13
sc06_A3_B1__gpt-5.6-sol,sc06,A3,B1,gpt-5.6-sol,OpenAI,0,2,1,33,5.59
sc06_A3_B2__claude-opus-5,sc06,A3,B2,claude-opus-5,Anthropic,0,2,1,131,11.1
sc06_A3_B2__claude-sonnet-5,sc06,A3,B2,claude-sonnet-5,Anthropic,0,2,1,114,15.25
sc06_A3_B2__gemini-3.1-pro-high,sc06,A3,B2,gemini-3.1-pro-high,Google,0,2,1,76,15.55
sc06_A3_B2__gpt-5.6-sol,sc06,A3,B2,gpt-5.6-sol,OpenAI,0,2,1,33,6.1
sc06_A3_B3__claude-opus-5,sc06,A3,B3,claude-opus-5,Anthropic,0,2,1,149,10.42
sc06_A3_B3__claude-sonnet-5,sc06,A3,B3,claude-sonnet-5,Anthropic,7,0,1,442,27.46
sc06_A3_B3__gemini-3.1-pro-high,sc06,A3,B3,gemini-3.1-pro-high,Google,0,2,1,88,17.95
sc06_A3_B3__gpt-5.6-sol,sc06,A3,B3,gpt-5.6-sol,OpenAI,0,2,1,33,6.34
sc07_A1_B1__claude-opus-5,sc07,A1,B1,claude-opus-5,Anthropic,7,0,1,134,14.14
sc07_A1_B1__claude-sonnet-5,sc07,A1,B1,claude-sonnet-5,Anthropic,7,0,0,154,19.27
sc07_A1_B1__gemini-3.1-pro-high,sc07,A1,B1,gemini-3.1-pro-high,Google,7,0,0,105,13.3
sc07_A1_B1__gpt-5.6-sol,sc07,A1,B1,gpt-5.6-sol,OpenAI,7,0,0,77,5.4
sc07_A1_B2__claude-opus-5,sc07,A1,B2,claude-opus-5,Anthropic,7,0,0,101,12.91
sc07_A1_B2__claude-sonnet-5,sc07,A1,B2,claude-sonnet-5,Anthropic,7,0,0,154,17.04
sc07_A1_B2__gemini-3.1-pro-high,sc07,A1,B2,gemini-3.1-pro-high,Google,7,0,0,115,15.68
sc07_A1_B2__gpt-5.6-sol,sc07,A1,B2,gpt-5.6-sol,OpenAI,6,0,0,77,6.08
sc07_A1_B3__claude-opus-5,sc07,A1,B3,claude-opus-5,Anthropic,7,0,1,153,14.56
sc07_A1_B3__claude-sonnet-5,sc07,A1,B3,claude-sonnet-5,Anthropic,7,0,0,77,15.75
sc07_A1_B3__gemini-3.1-pro-high,sc07,A1,B3,gemini-3.1-pro-high,Google,7,0,0,115,16.31
sc07_A1_B3__gpt-5.6-sol,sc07,A1,B3,gpt-5.6-sol,OpenAI,7,0,0,77,13.1
sc07_A2_B1__claude-opus-5,sc07,A2,B1,claude-opus-5,Anthropic,0,2,1,69,8.01
sc07_A2_B1__claude-sonnet-5,sc07,A2,B1,claude-sonnet-5,Anthropic,0,2,1,136,18.25
sc07_A2_B1__gemini-3.1-pro-high,sc07,A2,B1,gemini-3.1-pro-high,Google,0,2,1,65,18.17
sc07_A2_B1__gpt-5.6-sol,sc07,A2,B1,gpt-5.6-sol,OpenAI,0,2,1,11,5.26
sc07_A2_B2__claude-opus-5,sc07,A2,B2,claude-opus-5,Anthropic,0,2,1,173,10.58
sc07_A2_B2__claude-sonnet-5,sc07,A2,B2,claude-sonnet-5,Anthropic,0,2,1,185,19.27
sc07_A2_B2__gemini-3.1-pro-high,sc07,A2,B2,gemini-3.1-pro-high,Google,0,2,1,81,32.73
sc07_A2_B2__gpt-5.6-sol,sc07,A2,B2,gpt-5.6-sol,OpenAI,0,2,1,7,26.09
sc07_A2_B3__claude-opus-5,sc07,A2,B3,claude-opus-5,Anthropic,0,2,1,156,9.36
sc07_A2_B3__claude-sonnet-5,sc07,A2,B3,claude-sonnet-5,Anthropic,0,2,1,208,18.19
